Category,Difficulty,Content,Points,Options,CorrectOption
Reactive Fields,Beginner,What does @api.onchange do in Odoo?,10.0,Saves data to the database | Reacts to user edits in form view instantly | Works in backend processes | Computes values for reports,Reacts to user edits in form view instantly
Reactive Fields,Beginner,Which decorator should you use for critical computations that need to work everywhere?,10.0,@api.onchange | @api.model | @api.depends | @api.constrains,@api.depends
Reactive Fields,Intermediate,What is the main difference between @api.onchange and @api.depends?,15.0,onchange runs in UI only while depends works everywhere | onchange is faster than depends | depends doesn't save to database | onchange works in backend,onchange runs in UI only while depends works everywhere
Reactive Fields,Intermediate,When should you use a related field in Odoo?,15.0,When you need custom logic | When you only need to mirror data from another model | When computing complex calculations | When reacting to user input,When you only need to mirror data from another model
Reactive Fields,Advanced,What happens if you use @api.onchange for calculating totals instead of @api.depends?,20.0,It works perfectly in all scenarios | It fails immediately | The total stays wrong when importing data or using scheduled jobs | The database gets corrupted,The total stays wrong when importing data or using scheduled jobs
Reactive Fields,Intermediate,Can related fields be stored in the database?,15.0,No never | Yes if store=True is set | Yes always by default | Only for Many2one fields,Yes if store=True is set
Reactive Fields,Advanced,What can @api.onchange return to filter dropdown options?,20.0,A list of IDs | A dictionary with domain key | A RecordSet | A warning message only,A dictionary with domain key
Reactive Fields,Intermediate,What does @api.depends_context do in Odoo 17+?,15.0,Changes the user context | Lets computed fields re-evaluate when context like language changes | Deletes the context | Saves context to database,Lets computed fields re-evaluate when context like language changes
Computed Fields,Beginner,Are computed fields stored in the database by default?,10.0,Yes always | No by default | Only for integers | Only for Many2one fields,No by default
Computed Fields,Intermediate,How do you make a computed field searchable?,15.0,Add searchable=True | Add store=True | Add index=True | Add search=True,Add store=True
Computed Fields,Intermediate,What does the inverse parameter do in a computed field?,15.0,Reverses the computation | Allows manual editing of the computed field | Deletes the field | Hides the field,Allows manual editing of the computed field
Computed Fields,Advanced,When does Odoo recompute a computed field?,20.0,Every second | When any field in @api.depends changes | Only when the user clicks save | Never automatically,When any field in @api.depends changes
Computed Fields,Advanced,What is lazy recomputation in Odoo?,20.0,Odoo never recomputes | Odoo waits until the field is actually read | Odoo computes everything immediately | Odoo computes randomly,Odoo waits until the field is actually read
Computed Fields,Beginner,What is the purpose of @api.depends decorator?,10.0,To delete dependencies | To specify fields that a computed field depends on | To create new fields | To hide fields,To specify fields that a computed field depends on
Environment & Context,Beginner,What is self.env in Odoo?,10.0,The environment variable | The complete context including user cursor and context | Only the database cursor | Only the current user,The complete context including user cursor and context
Environment & Context,Intermediate,What is the context in Odoo?,15.0,A Python list | A Python dictionary for temporary information | A database table | A class object,A Python dictionary for temporary information
Environment & Context,Intermediate,How do you access another model using the environment?,15.0,self.model['res.partner'] | self.env['res.partner'] | self.context['res.partner'] | self.get('res.partner'),self.env['res.partner']
Decorators,Beginner,What is the purpose of @api.model decorator?,10.0,To create models | To make self refer to the Model not a specific record | To delete models | To copy models,To make self refer to the Model not a specific record
Decorators,Intermediate,When should you use @api.constrains?,15.0,For computed fields | For validation on save | For onchange methods | For search methods,For validation on save
Decorators,Advanced,What happens if a computed field has no @api.depends decorator?,20.0,It never executes | It executes only once then never again automatically | It executes continuously | It causes an error,It executes only once then never again automatically
